career_name,career_occ_code,career_2012_emp,career_2022_emp,career_num_emp_change,career_percent_emp_change,career_percent_self_emp,career_job_openings,career_med_ann_wage,career_edu,career_work_exp,career_job_training
Supervisors of building and grounds cleaning and maintenance workers,37-1000,456.8,515.2,58.3,12.8,38.8,141.5,37610,,,
"Agents and business managers of artists, performers, and athletes",13-1011,18.3,20.1,1.8,9.7,33,5.8,63370,Bachelor's degree,Less than 5 years,None
Bill and account collectors,43-3011,397.4,455.6,58.2,14.7,1.7,170,32480,High school diploma or equivalent,None,Moderate-term on-the-job training
Mathematicians,15-2021,3.5,4.3,0.8,22.7,,1.7,101360,Master's degree,None,None
Ophthalmic medical technicians,29-2057,29.6,38.4,8.8,29.8,,11.7,34240,Postsecondary non-degree award,None,None
"Bailiffs, correctional officers, and jailers",33-3010,469.5,492.6,23,4.9,,147.8,38970,,,
"Criminal justice and law enforcement teachers, postsecondary",25-1111,16.4,18.5,2.1,13.1,,4.6,58040,Doctoral or professional degree,None,None
"Telecommunications equipment installers and repairers, except line installers",49-2022,217.2,225.7,8.4,3.9,3.7,38.2,54530,Postsecondary non-degree award,None,Moderate-term on-the-job training
Retail sales workers,41-2000,8467.3,9050.6,583.3,6.9,2,3725.4,19890,,,
"Explosives workers, ordnance handling experts, and blasters",47-5031,6.5,6.9,0.3,5.2,,2.1,48620,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
"Textile, apparel, and furnishings workers",51-6000,657.5,610.6,-47,-7.1,12.1,134.6,22000,,,
"Chemistry teachers, postsecondary",25-1052,25.3,28.8,3.5,13.7,,7.3,71140,Doctoral or professional degree,None,None
Forest fire inspectors and prevention specialists,33-2022,1.9,1.9,0.1,2.8,,0.6,35780,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Other installation, maintenance, and repair occupations",49-9000,2850.1,3181.6,331.5,11.6,3.7,976.5,38750,,,
Microbiologists,19-1022,20.1,21.6,1.4,7,2.8,7.1,66260,Bachelor's degree,None,None
Nuclear medicine technologists,29-2033,20.9,25.1,4.2,20.2,1.1,7.2,70180,Associate's degree,None,None
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,267.6,323.5,55.9,20.9,8.7,123.7,43640,Postsecondary non-degree award,None,Long-term on-the-job training
"News analysts, reporters and correspondents",27-3020,57.6,50.4,-7.2,-12.6,13.1,19.6,37090,,,
Medical transcriptionists,31-9094,84.1,90.5,6.4,7.6,10.2,22.4,34020,Postsecondary non-degree award,None,None
Segmental pavers,47-4091,1.8,2.4,0.7,38.1,17.2,1,33720,High school diploma or equivalent,None,Moderate-term on-the-job training
Agricultural and food scientists,19-1010,38.5,42,3.6,9.3,13.6,16.4,58610,,,
Database and systems administrators and network architects,15-1140,628.6,710.3,81.8,13,1,184.3,76880,,,
Archivists,25-4011,6.5,7.6,1.1,16.6,3.3,2.5,47340,Master's degree,None,None
Optometrists,29-1041,33.1,41.2,8.1,24.4,10.8,17.7,97820,Doctoral or professional degree,None,None
Top executives,11-1000,2361.5,2626.8,265.2,11.2,3.3,717.4,99550,,,
Physical therapist aides,31-2022,50,70.1,20.1,40.1,0.5,31.2,23880,High school diploma or equivalent,None,Short-term on-the-job training
Art and design workers,27-1000,753.7,793.4,39.8,5.3,32.9,239.7,42250,,,
Driver/sales workers,53-3031,432,468.8,36.8,8.5,7.3,105.9,22670,High school diploma or equivalent,None,Short-term on-the-job training
"Forestry and conservation science teachers, postsecondary",25-1043,3.1,3.4,0.3,9.9,,0.8,81930,Doctoral or professional degree,None,None
Nurse midwives,29-1161,6,7.7,1.7,28.6,,2.9,89600,Master's degree,None,None
Metal-refining furnace operators and tenders,51-4051,20.8,18.5,-2.3,-10.9,0.8,2.7,38900,High school diploma or equivalent,None,Moderate-term on-the-job training
Other teachers and instructors,25-3000,1375.3,1501.8,126.6,9.2,11.2,361.3,30100,,,
